feature,p_value
s1,0.0
s4,0.0
s5,0.0
s6,0.0
s7,0.0
s8,0.0
s9,0.0
s10,0.0
s11,0.0
s12,0.0
s13,0.0
s14,0.0
s15,0.0
s16,0.0
s17,0.0
s18,0.0
s19,0.0
s20,0.0
s21,0.012
s22,0.0
s23,0.0
s24,0.0
s25,0.0
s26,0.0
s27,0.0
s28,0.0
s29,0.0
s30,0.0
s31,0.0
s32,0.0
s33,0.0
s34,0.0
s35,0.0
s36,0.0
s37,0.0
s38,0.0
s39,0.0
s40,0.0
s41,0.0
s42,0.0
s43,0.0
s44,0.0
s45,0.0
s46,0.0
s47,0.0
s48,0.0
s49,0.0
s50,0.0
s51,0.0
s52,0.0
s53,0.0
s54,0.0
s55,0.0
s56,0.0
s57,0.0
s58,0.0
s59,0.0
s60,0.0
s61,0.0
s62,0.0
s63,0.0
s64,0.0
s65,0.0
s66,0.0
s67,0.0
s68,0.0
s69,0.0
s70,0.0
s71,0.0
s72,0.0
s73,0.0
s74,0.0
s75,0.0
s76,0.0
s77,0.0
s78,0.0
s79,0.0
s80,0.0
s81,0.0
s82,0.0
s83,0.0
s84,0.0
s85,0.0
s86,0.0
s87,0.0
s88,0.0
s89,0.0
s90,0.0
s91,0.0
s92,0.0
s93,0.0
s94,0.0
s95,0.0
s96,0.0
s97,0.0
s98,0.0
s99,0.0
s100,0.0
s101,0.0
s102,0.0
s103,0.0
s104,0.0
s105,0.0
s106,0.0
s107,0.0
s108,0.0
s109,0.0
s110,0.0
s111,0.0
s112,0.0
s113,0.0
s114,0.0
s115,0.0
s116,0.0
s117,0.0
s118,0.0
s119,0.0
s122,0.0
s123,0.0
s124,0.0
s125,0.0
s126,0.0
s127,0.0
s128,0.0
s129,0.0
s130,0.0
s131,0.0
s132,0.0
s133,0.0
s134,0.0
s135,0.0
s136,0.0
s137,0.0
s138,0.0
s139,0.0
s140,0.0
s141,0.0
s142,0.0
s143,0.0
s144,0.0
s145,0.0
s146,0.0
s147,0.0
s148,0.0
s149,0.0
s150,0.0
s151,0.0
s152,0.0
s153,0.0
s154,0.0
s155,0.0
s156,0.0
s157,0.0
s158,0.0
s159,0.0
s160,0.0
s161,0.0
s162,0.0
s163,0.0
s164,0.0
s165,0.0
s166,0.0
s167,0.0
s168,0.0
s169,0.0
s170,0.0
s171,0.0
s172,0.0
s173,0.0
s174,0.0
s175,0.0
s176,0.0
s177,0.0
s178,0.0
s179,0.0
s180,0.0
s181,0.0
s182,0.0
s183,0.0
s184,0.016
s185,0.005
s186,0.006
s187,0.005
s188,0.006
s189,0.006
s190,0.002
s191,0.0
s192,0.0
s193,0.002
s194,0.0
s195,0.0
s196,0.0
s197,0.001
s198,0.0
s199,0.0
s200,0.0
s201,0.0
s202,0.0
s203,0.0
s204,0.0
s205,0.0
s206,0.0
s207,0.0
s208,0.0
s209,0.0
s210,0.0
s211,0.0
s212,0.0
s213,0.0
s214,0.0
s215,0.0
s216,0.0
s217,0.0
s218,0.0
s219,0.0
s220,0.0
s221,0.0
s222,0.0
s223,0.0
s224,0.0
s225,0.0
s226,0.0
s227,0.0
s228,0.0
s229,0.0
s230,0.0
s231,0.0
s232,0.0
s233,0.0
s234,0.0
s235,0.0
s236,0.0
s237,0.0
